# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 3 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-52194
# Timestamp: Mon, 30-Aug-2021 13:20:31
Gene ID	Gene Name	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal' .foldChange	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'.pValue	'non-triple-negative breast cancer; breast carcinoma' vs 'normal' .foldChange	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'.pValue	'triple-negative breast cancer; breast carcinoma' vs 'normal' .foldChange	'triple-negative breast cancer; breast carcinoma' vs 'normal'.pValue
ENSG00000000003	TSPAN6	-0.7	0.191749036117986	-1.9	1.54861030565786E-4	-1.2	0.00738875010670874
ENSG00000000005	TNMD	-3.1	8.16013648002386E-4	-1.3	0.124726766199942		
ENSG00000000419	DPM1	0.7	0.210718056513522	0.7	0.18692382224262	0.6	0.0783851134351336
ENSG00000000457	SCYL3	2.4	2.71567091025492E-8	1.7	4.55013157605467E-8	1.4	3.41801203754572E-4
ENSG00000000460	C1orf112	2.8	1.12244244185574E-10	1.7	5.30577123657916E-6	1.7	4.47232686778035E-5
ENSG00000000938	FGR	-0.2	0.783250368882697	-0.8	0.0930209479265733	-0.4	0.247081331650389
ENSG00000000971	CFH	-0.4	0.533757102341957	-0.5	0.346759776409641	-0.2	0.773282973696641
ENSG00000001036	FUCA2	-0.4	0.298394713380693	-0.4	0.480063600907736	-0.6	0.128192584648402
ENSG00000001084	GCLC	0.2	0.766873461361871	-0.1	0.844557144332677	-0.4	0.392904265930801
ENSG00000001167	NFYA	-0.1	0.850908291061763	-1.4	1.70059236009504E-4	-0.6	0.220541181439459
ENSG00000001460	STPG1	-0.4	0.486161674521092	0.5	0.176043107019889	0.6	0.126236794708939
ENSG00000001461	NIPAL3	0.6	0.282449883759896	1.8	7.86149028089968E-4	1.2	0.00257348636632845
ENSG00000001497	LAS1L	-0.5	0.213180833755069	-0.4	0.275386655279056	-0.4	0.349539016188844
ENSG00000001561	ENPP4	1.1	0.0563340627047799	1.3	0.00940272922541509	0.4	0.373815807581119
ENSG00000001617	SEMA3F	-0.5	0.390066860144992	0.4	0.480228963575498	-0.7	0.0523921722985596
ENSG00000001626	CFTR	0.4	0.743324197700422	-0.7	0.30535262543814	-0.1	0.888852627194503
ENSG00000001629	ANKIB1	1.5	5.84158565922165E-4	1.2	7.83529163410089E-4	1.2	1.36986281416679E-4
ENSG00000001630	CYP51A1	-1.7	0.00368581146052817	-2.0	1.00170368968701E-5	-2.2	1.07206357972931E-6
ENSG00000001631	KRIT1	1.1	0.048026017793837	0.7	0.0380988374256683	0.6	0.105859895570159
ENSG00000002016	RAD52	0.7	0.280691141785597			0.3	0.455139256401034
ENSG00000002079	MYH16	2.0	0.0604034041243808	2.4	0.00391224319849283	3.7	5.87622726729653E-5
