ID_REF,SRR1027183,SRR1027184,SRR1027185,SRR1027186,SRR1027187,SRR1027188,SRR1027189,SRR1027190
TSPAN6,257,435,321,97,229,933,972,975
TNMD,2,1,2,2,0,22,41,24
DPM1,242,921,224,162,130,398,344,392
SCYL3,208,389,257,393,128,128,86,114
C1orf112,144,399,158,225,73,50,63,53
FGR,63,25,99,46,24,103,152,133
CFH,597,277,741,361,293,845,1753,1399
FUCA2,177,211,267,181,80,612,450,496
GCLC,255,734,161,237,110,505,521,523
NFYA,192,992,252,198,141,479,641,1172
STPG1,30,70,29,32,18,97,77,112
NIPAL3,225,480,208,112,169,405,310,294
LAS1L,169,322,204,141,112,562,483,597
ENPP4,175,218,255,442,115,139,298,316
SEMA3F,164,134,155,124,131,567,424,346
CFTR,6,4,51,19,5,44,14,23
ANKIB1,870,1543,1724,706,391,500,844,954
CYP51A1,25,13,32,33,6,148,182,139
KRIT1,67,164,214,78,31,72,98,133
RAD52,57,220,68,51,20,92,118,81
MYH16,3,6,6,6,7,0,5,4
BAD,33,29,40,40,39,213,217,121
LAP3,653,676,997,248,204,1238,1503,962
CD99,509,169,548,501,279,1354,1731,2415
HS3ST1,61,11,47,81,13,63,78,101
AOC1,5,5,6,5,2,2,4,6
WNT16,4,2,3,9,0,2,2,2
HECW1,5,3,9,4,3,13,10,16
MAD1L1,108,135,130,55,58,194,236,267
LASP1,4156,740,649,8444,497,2952,2667,3021
SNX11,78,129,82,301,74,220,263,240
TMEM176A,96,194,191,139,60,575,537,599
M6PR,328,460,482,308,197,841,718,797
KLHL13,56,118,10,20,31,550,343,588
CYP26B1,13,201,17,2,2,78,56,87
ICA1,177,74,207,432,162,715,797,699
DBNDD1,93,89,87,172,120,391,300,221
ALS2,327,575,322,203,112,207,335,434
CASP10,214,217,297,125,54,115,200,208
CFLAR,1270,1098,948,492,208,1105,4450,3681
TFPI,916,133,183,139,191,637,1714,2183
NDUFAF7,96,212,104,59,47,112,96,101
RBM5,783,709,750,409,169,699,1350,908
MTMR7,38,104,41,19,14,16,14,24
SLC7A2,473,21,146,199,233,3547,3750,4783
ARF5,214,337,132,235,183,1066,954,678
SARM1,45,28,127,30,22,48,85,101
POLDIP2,357,808,944,271,317,931,806,643
PLXND1,521,1004,1179,433,259,720,1097,1157
AK2,353,1577,654,280,155,1094,1025,828
CD38,255,311,495,78,16,12,11,20
FKBP4,859,1367,1477,531,638,8857,3427,4405
KDM1A,556,1562,624,361,252,1170,1338,1549
RBM6,632,612,577,270,149,1082,1475,1315
CAMKK1,56,25,57,25,29,77,142,181
RECQL,288,407,353,236,129,271,363,437
VPS50,291,564,582,427,141,234,181,291
HSPB6,8,1,3,9,6,331,283,433
ARHGAP33,20,13,7,22,1,200,154,247
NDUFAB1,146,231,185,123,118,311,216,158
PDK4,226,66,461,493,592,6835,7752,12202
SLC22A16,2,1,1,1,3,5,9,11
ZMYND10,6,9,15,1,1,42,28,19
ABCB5,18,1,1,19,1,12,8,43
ARX,1,1,6,6,6,0,0,3
SLC25A13,398,597,671,361,168,161,257,179
ST7,152,267,149,160,57,395,401,595
CDC27,416,893,696,400,202,1108,1147,1516
SLC4A1,2,1,0,0,4,5,1,1
CALCR,25,0,0,31,3,25,2,6
HCCS,96,70,118,108,86,588,544,617
DVL2,37,89,31,63,13,436,431,445
PRSS22,23,33,56,10,115,896,483,1064
UPF1,391,1133,555,336,199,1022,1584,1900
SKAP2,269,186,279,151,111,537,672,868
SLC25A5,646,1476,1044,710,388,4857,3900,2874
MCUB,202,122,185,131,57,129,204,145
HOXA11,0,36,0,0,2,1,2,3
POLR2J,22,37,29,30,26,85,48,42
DHX33,128,974,128,90,82,283,621,719
MEOX1,32,2,14,9,19,122,275,299
THSD7A,64,41,95,51,35,98,223,247
LIG3,296,898,420,372,197,359,454,379
RPAP3,235,687,346,264,149,376,485,523
ACSM3,59,198,37,23,16,256,143,108
REXO5,50,76,60,58,19,135,86,67
CIAPIN1,173,375,188,198,91,277,224,209
SPPL2B,79,91,62,51,70,550,511,339
FAM214B,84,103,55,80,55,146,140,146
COPZ2,12,5,26,30,46,131,133,110
PRKAR2B,139,911,111,252,104,251,277,378
MSL3,425,319,456,229,159,370,438,261
CREBBP,879,1038,649,574,209,1438,2304,3404
TSPOAP1,67,101,269,116,26,485,471,506
MPO,1,1,2,0,0,10,4,8
PON1,2,0,11,32,0,1,6,4
GCFC2,195,293,280,156,104,253,334,303
WDR54,21,29,40,10,15,120,117,103
CROT,277,80,84,155,45,314,235,290
ABCB4,24,7,26,71,8,36,7,21
KMT2E,1197,1284,651,848,106,1658,2313,4793
RHBDD2,127,103,143,164,224,1134,556,461
SOX8,2,113,0,0,1,130,150,161
IBTK,795,1395,983,926,315,591,1057,1438
ZNF195,280,465,345,300,148,311,440,271
MYCBP2,2873,2082,3032,1132,519,810,1247,1706
FBXL3,483,310,532,334,267,576,1266,1597
ITGAL,318,111,356,76,83,65,91,57
PDK2,132,44,37,72,30,145,133,146
ITGA3,601,108,126,261,387,1299,1784,1760
ZFX,733,1045,1489,789,306,567,1145,1201
LAMP2,1163,1532,1636,1005,1062,3268,5440,5647
ITGA2B,4,4,4,0,2,9,17,17
ASB4,0,0,2,12,0,2,3,11
GDE1,359,225,343,269,341,932,778,968
REX1BD,35,37,72,42,52,340,210,153
CRLF1,13,14,24,7,15,118,110,97
OSBPL7,50,27,57,37,24,124,104,114
TMEM98,106,22,87,202,90,735,520,497
YBX2,9,50,31,21,21,70,69,43
KRT33A,0,0,0,0,0,0,2,1
MAP3K14,105,93,73,60,31,361,360,428
ABCC8,6,1,2,8,1,213,259,304
CACNG3,1,0,0,0,0,0,0,0
TMEM132A,421,202,581,49,1068,550,761,362
AP2B1,1503,2059,1508,1132,969,5055,3846,6037
TAC1,5,0,1,1,4,125,258,96
ZNF263,166,224,118,177,76,919,622,844
CX3CL1,520,318,134,168,204,6133,11450,15110
SPATA20,356,42,53,735,45,861,608,519
CACNA1G,7,3,0,5,6,70,278,213
TNFRSF12A,39,69,79,37,197,1602,1753,1390
DLX6,1,21,0,0,0,1,2,2
MAP3K9,105,184,178,188,54,458,737,904
RALA,412,569,708,427,395,546,723,710
BAIAP2L1,224,244,367,203,60,607,692,637
KDM7A,921,1599,1462,1255,263,382,1231,1960
ETV1,79,41,82,67,57,404,392,507
AGK,346,779,347,308,108,274,229,231
ALDH3B1,34,48,29,45,13,52,45,44
TTC22,17,91,21,40,11,49,53,70
PHTF2,532,476,716,687,210,430,483,641
CCL26,0,1,0,0,3,4,5,1
FARP2,345,671,388,324,102,341,518,762
USH1C,1,5,1,0,2,16,4,3
GGCT,490,292,467,351,346,337,234,215
DBF4,136,248,184,159,16,93,78,117
TBXA2R,5,7,2,7,5,8,22,15
IFRD1,266,1051,308,323,165,3569,5553,3689
LGALS14,0,0,0,0,0,0,0,0
COX10,86,230,97,76,65,113,162,209
GTF2IRD1,125,268,139,215,97,315,445,417
PAF1,137,161,138,201,124,2096,2132,2899
VPS41,664,564,680,411,356,618,668,769
ARHGAP44,26,65,76,15,33,228,201,274
ELAC2,221,710,328,240,212,541,713,729
SCIN,26,28,21,30,20,59,57,27
ARSD,453,99,422,847,196,936,668,867
PNPLA4,92,35,179,122,55,349,222,186
MYH13,23,2,12,8,5,1,5,9
ADIPOR2,483,1078,522,342,217,1995,1988,2886
CDKL3,5,9,4,5,0,8,5,4
UPP2,3,11,4,0,0,2,6,6
PRSS21,6,112,0,6,9,154,24,21
MARK4,97,327,111,82,28,523,732,1020
PROM1,68,2065,309,1019,1012,1259,1881,1329
CCDC124,47,93,44,32,34,726,600,548
CEACAM21,14,6,14,3,6,2,2,2
PAFAH1B1,926,1698,1008,750,507,1407,2160,2507
NOS2,3,33,5,8,1,1,8,8
DNAH9,9,5,3,2,19,24,8,14
KIAA0100,1472,1974,4432,2156,724,1403,1389,1246
SLC13A2,7,0,2,0,2,318,300,304
AC005747.1,426,83,291,226,243,399,1595,1690
TRAPPC6A,45,139,56,37,18,342,167,123
MATK,16,10,26,8,15,32,120,31
CEACAM7,5,1,13,107,4,1,1,2
CD79B,26,25,40,12,7,38,52,32
SCN4A,13,2,1,1,7,102,314,327
ST7L,85,117,90,80,20,173,164,131
TKTL1,1,1,1,2,3,11,4,2
PAX6,2,5,4,4,6,6,0,1
RPUSD1,45,60,75,52,59,139,136,89
RHBDF1,105,99,80,71,68,675,733,477
LUC7L,345,380,250,232,99,826,1148,946
CACNA2D2,26,8,30,6,14,109,107,83
BAIAP3,36,0,9,4,10,89,129,110
TSR3,63,67,86,45,87,210,150,82
PIGQ,102,54,84,87,88,431,224,157
CRAMP1,103,117,96,81,14,172,254,366
TEAD3,67,155,95,62,106,680,998,1218
SELE,92,18,181,84,66,3455,29448,31133
DNAJC11,124,251,162,87,80,249,299,213
FMO3,572,179,20,50,72,15,64,31
MYLIP,384,501,263,351,195,2339,1325,3368
NOX1,5,1,9,4,3,2,1,4
E2F2,45,96,82,64,14,29,10,10
PSMB1,411,730,596,484,257,1466,1199,899
SYN1,0,2,2,6,0,10,25,11
JARID2,412,697,418,167,237,271,801,641
CDKL5,379,318,643,698,387,141,536,811
CAMK1G,4,5,3,3,1,22,17,32
CDK11A,6,1,6,4,0,21,31,29
NADK,167,169,267,247,126,441,589,463
TFAP2B,62,1,583,1248,36,425,306,181
TFAP2D,0,0,0,0,0,0,0,0
DLEC1,14,14,6,19,4,22,22,22
CYTH3,149,177,124,81,171,474,953,1028
ADAM22,180,42,69,198,80,49,79,90
SYPL1,480,871,412,971,454,1036,1501,2104
CYB561,346,367,933,385,944,1066,857,907
SPAG9,2974,1940,824,2567,304,2364,4877,5766
CELSR3,139,46,34,21,36,69,120,61
AASS,117,26,39,68,26,192,290,344
PLEKHG6,75,73,32,62,81,216,274,358
SS18L2,73,314,77,34,43,184,94,148
MPND,33,22,30,19,18,197,151,86
MGST1,227,653,331,684,349,1563,932,988
CRY1,286,312,128,122,102,1796,3113,1884
PGLYRP1,1,0,2,0,3,0,2,0
NFIX,177,1587,62,70,94,1698,1913,2964
ST3GAL1,814,2523,598,379,407,795,2092,2328
MMP25,14,22,34,10,11,70,40,30
IL32,99,39,151,30,25,627,665,239
PKD1,130,112,122,137,70,447,607,566
MAPK8IP2,36,147,86,3,94,80,58,61
MED24,233,305,698,156,1638,789,1750,1914
RHOBTB2,120,51,64,39,72,207,266,299
HEATR5B,766,816,696,597,275,520,676,821
SEC62,915,1309,1384,1041,806,1813,2405,3320
