ID_REF,SRR1027177,SRR1027178,SRR1027179,SRR1027180,SRR1027181,SRR1027182,SRR1027188,SRR1027189,SRR1027190
TSPAN6,507,207,98,167,116,55,933,972,975
TNMD,1,11,9,18,3,2,22,41,24
DPM1,1219,328,433,183,561,179,398,344,392
SCYL3,298,243,310,267,270,147,128,86,114
C1orf112,287,132,114,101,104,68,50,63,53
FGR,98,32,32,80,39,33,103,152,133
CFH,1333,537,691,903,643,197,845,1753,1399
FUCA2,907,185,257,209,255,101,612,450,496
GCLC,425,332,352,215,716,99,505,521,523
NFYA,295,205,253,172,193,87,479,641,1172
STPG1,186,89,96,53,126,63,97,77,112
NIPAL3,2419,656,720,229,968,677,405,310,294
LAS1L,387,324,348,193,323,242,562,483,597
ENPP4,1318,230,428,299,558,207,139,298,316
SEMA3F,391,392,403,215,404,518,567,424,346
CFTR,7,9,10,19,16,8,44,14,23
ANKIB1,2741,1129,1069,1038,1126,719,500,844,954
CYP51A1,51,40,21,12,17,23,148,182,139
KRIT1,167,107,118,101,107,98,72,98,133
RAD52,73,78,67,72,76,38,92,118,81
MYH16,7,8,10,17,18,10,0,5,4
BAD,143,84,79,78,94,96,213,217,121
LAP3,1862,939,836,480,917,563,1238,1503,962
CD99,722,891,921,1044,627,121,1354,1731,2415
HS3ST1,164,26,29,32,27,18,63,78,101
AOC1,6,6,11,8,7,67,2,4,6
WNT16,3,5,8,2,5,1,2,2,2
HECW1,17,31,26,35,31,15,13,10,16
MAD1L1,229,142,135,104,122,83,194,236,267
LASP1,1213,1858,1691,1023,1835,549,2952,2667,3021
SNX11,495,307,304,165,355,83,220,263,240
TMEM176A,183,75,93,150,272,300,575,537,599
M6PR,646,450,473,353,616,327,841,718,797
KLHL13,93,25,89,35,66,17,550,343,588
CYP26B1,32,21,14,46,17,6,78,56,87
ICA1,768,362,270,468,550,289,715,797,699
DBNDD1,123,130,73,84,110,104,391,300,221
ALS2,627,370,338,254,346,211,207,335,434
CASP10,163,62,110,149,128,64,115,200,208
CFLAR,1388,765,698,644,615,379,1105,4450,3681
TFPI,498,178,241,287,243,77,637,1714,2183
NDUFAF7,253,106,114,67,122,61,112,96,101
RBM5,571,666,523,824,535,463,699,1350,908
MTMR7,341,77,69,89,143,221,16,14,24
SLC7A2,3181,4103,2178,1899,2949,4522,3547,3750,4783
ARF5,957,370,365,367,515,517,1066,954,678
SARM1,126,52,47,59,73,97,48,85,101
POLDIP2,1528,569,651,312,720,597,931,806,643
PLXND1,413,601,484,660,312,539,720,1097,1157
AK2,1787,507,503,326,712,524,1094,1025,828
CD38,76,24,44,37,30,77,12,11,20
FKBP4,4651,3204,3128,414,3870,1623,8857,3427,4405
KDM1A,1236,519,445,557,650,462,1170,1338,1549
RBM6,672,590,693,468,695,441,1082,1475,1315
CAMKK1,312,87,87,52,141,49,77,142,181
RECQL,877,312,357,325,399,202,271,363,437
VPS50,666,278,345,400,379,660,234,181,291
HSPB6,5,4,14,53,6,4,331,283,433
ARHGAP33,54,61,34,26,39,32,200,154,247
NDUFAB1,790,432,292,178,300,223,311,216,158
PDK4,454,222,185,848,234,224,6835,7752,12202
SLC22A16,4,4,1,7,3,0,5,9,11
ZMYND10,56,78,32,50,147,90,42,28,19
ABCB5,4,11,37,24,36,5,12,8,43
ARX,21,27,18,6,11,0,0,0,3
SLC25A13,509,180,228,166,241,266,161,257,179
ST7,275,121,169,227,216,140,395,401,595
CDC27,1318,783,842,534,757,436,1108,1147,1516
SLC4A1,12,18,27,34,32,11,5,1,1
CALCR,19,12,10,26,14,4,25,2,6
HCCS,324,129,116,88,152,62,588,544,617
DVL2,46,77,59,58,50,33,436,431,445
PRSS22,175,52,74,21,79,40,896,483,1064
UPF1,921,1151,839,423,576,397,1022,1584,1900
SKAP2,300,108,147,380,165,183,537,672,868
SLC25A5,1675,789,1286,506,1446,608,4857,3900,2874
MCUB,357,106,125,182,164,137,129,204,145
HOXA11,10,4,3,8,1,0,1,2,3
POLR2J,145,78,66,36,90,42,85,48,42
DHX33,401,137,121,112,120,146,283,621,719
MEOX1,45,32,70,72,59,18,122,275,299
THSD7A,56,64,87,102,84,28,98,223,247
LIG3,765,811,1027,302,944,650,359,454,379
RPAP3,674,358,431,239,478,279,376,485,523
ACSM3,22,31,39,40,35,16,256,143,108
REXO5,294,70,66,41,50,64,135,86,67
CIAPIN1,540,102,156,137,182,97,277,224,209
SPPL2B,303,151,163,115,121,115,550,511,339
FAM214B,225,119,90,120,92,41,146,140,146
COPZ2,218,134,136,285,100,35,131,133,110
PRKAR2B,233,377,453,652,515,718,251,277,378
MSL3,433,201,243,238,296,113,370,438,261
CREBBP,459,879,813,856,572,500,1438,2304,3404
TSPOAP1,418,390,232,54,213,152,485,471,506
MPO,10,14,12,8,19,5,10,4,8
PON1,1,4,5,7,10,3,1,6,4
GCFC2,337,175,265,199,267,187,253,334,303
WDR54,140,92,95,30,177,88,120,117,103
CROT,4092,615,412,371,540,171,314,235,290
ABCB4,43,16,22,47,13,22,36,7,21
KMT2E,395,453,533,642,438,379,1658,2313,4793
RHBDD2,388,223,148,215,257,366,1134,556,461
SOX8,1,4,0,5,4,0,130,150,161
IBTK,2303,828,780,1001,1500,699,591,1057,1438
ZNF195,275,210,188,345,236,216,311,440,271
MYCBP2,1089,740,933,1400,1140,926,810,1247,1706
FBXL3,1007,399,565,619,895,500,576,1266,1597
ITGAL,211,114,197,100,142,126,65,91,57
PDK2,247,156,142,72,126,100,145,133,146
ITGA3,807,592,483,224,539,433,1299,1784,1760
ZFX,1249,1350,984,925,890,1901,567,1145,1201
LAMP2,3474,1276,2032,2078,2054,1124,3268,5440,5647
ITGA2B,20,20,14,6,18,7,9,17,17
ASB4,12,2,5,7,5,1,2,3,11
GDE1,1494,649,459,533,497,237,932,778,968
REX1BD,152,363,164,72,107,53,340,210,153
CRLF1,32,19,14,8,10,4,118,110,97
OSBPL7,140,139,99,57,70,47,124,104,114
TMEM98,141,129,215,269,197,43,735,520,497
YBX2,54,34,28,23,10,34,70,69,43
KRT33A,2,5,2,1,3,4,0,2,1
MAP3K14,165,75,102,107,77,68,361,360,428
ABCC8,30,58,39,62,206,42,213,259,304
CACNG3,6,13,5,4,3,4,0,0,0
TMEM132A,362,916,898,342,493,183,550,761,362
AP2B1,7432,3538,4147,1724,5264,2238,5055,3846,6037
TAC1,2,4,11,4,6,3,125,258,96
ZNF263,182,347,224,145,205,186,919,622,844
CX3CL1,42,79,104,111,86,115,6133,11450,15110
SPATA20,508,207,250,116,327,198,861,608,519
CACNA1G,16,50,37,41,33,7,70,278,213
TNFRSF12A,226,74,101,132,93,54,1602,1753,1390
DLX6,4,3,3,2,2,1,1,2,2
MAP3K9,417,122,145,123,201,156,458,737,904
RALA,1863,623,760,623,761,314,546,723,710
BAIAP2L1,486,136,128,97,210,70,607,692,637
KDM7A,883,371,483,826,429,180,382,1231,1960
ETV1,123,207,177,129,101,49,404,392,507
AGK,408,202,213,235,200,189,274,229,231
ALDH3B1,236,40,41,54,43,72,52,45,44
TTC22,276,8,16,34,70,16,49,53,70
PHTF2,875,305,382,400,331,298,430,483,641
CCL26,0,1,3,2,1,0,4,5,1
FARP2,577,229,271,314,221,180,341,518,762
USH1C,10,11,15,18,30,10,16,4,3
GGCT,903,221,278,234,339,212,337,234,215
DBF4,95,50,45,51,65,45,93,78,117
TBXA2R,25,22,10,7,13,5,8,22,15
IFRD1,832,182,246,295,262,193,3569,5553,3689
LGALS14,2,3,2,3,2,0,0,0,0
COX10,171,109,114,93,121,100,113,162,209
GTF2IRD1,424,226,226,165,281,156,315,445,417
PAF1,869,435,546,245,597,212,2096,2132,2899
VPS41,1228,820,739,503,680,366,618,668,769
ARHGAP44,85,29,35,23,58,26,228,201,274
ELAC2,570,369,313,313,417,333,541,713,729
SCIN,448,695,176,94,130,28,59,57,27
ARSD,338,803,861,662,1132,494,936,668,867
PNPLA4,141,208,184,74,229,170,349,222,186
MYH13,9,20,20,41,22,6,1,5,9
ADIPOR2,1974,625,898,440,1031,526,1995,1988,2886
CDKL3,10,16,14,9,7,3,8,5,4
UPP2,4,6,4,2,6,3,2,6,6
PRSS21,6,7,5,5,59,9,154,24,21
MARK4,206,167,198,105,147,165,523,732,1020
PROM1,16,17,38,19,33,5,1259,1881,1329
CCDC124,236,89,99,46,85,53,726,600,548
CEACAM21,12,16,3,11,20,17,2,2,2
PAFAH1B1,2241,1050,916,1074,947,959,1407,2160,2507
NOS2,14,16,14,15,30,9,1,8,8
DNAH9,23,24,23,20,56,15,24,8,14
KIAA0100,3344,1655,1978,1373,2400,1777,1403,1389,1246
SLC13A2,12,6,18,13,19,8,318,300,304
AC005747.1,606,478,807,1506,625,177,399,1595,1690
TRAPPC6A,273,182,173,44,184,87,342,167,123
MATK,33,58,21,33,15,5,32,120,31
CEACAM7,2,8,3,11,5,5,1,1,2
CD79B,13,19,21,9,28,7,38,52,32
SCN4A,31,43,36,38,34,10,102,314,327
ST7L,221,139,129,111,113,95,173,164,131
TKTL1,6,5,10,6,13,2,11,4,2
PAX6,8,10,15,16,15,6,6,0,1
RPUSD1,232,170,129,84,117,116,139,136,89
RHBDF1,210,243,214,173,125,116,675,733,477
LUC7L,306,538,425,374,334,255,826,1148,946
CACNA2D2,37,87,66,36,164,339,109,107,83
BAIAP3,75,63,15,42,11,9,89,129,110
TSR3,263,284,162,107,167,136,210,150,82
PIGQ,204,293,218,168,191,241,431,224,157
CRAMP1,143,323,168,111,109,137,172,254,366
TEAD3,215,126,129,98,98,41,680,998,1218
SELE,111,49,142,38,107,170,3455,29448,31133
DNAJC11,542,389,287,99,194,157,249,299,213
FMO3,48,27,18,22,17,7,15,64,31
MYLIP,874,352,539,315,663,215,2339,1325,3368
NOX1,3,8,6,4,5,2,2,1,4
E2F2,43,33,18,25,16,56,29,10,10
PSMB1,2436,604,524,556,716,314,1466,1199,899
SYN1,7,3,4,5,23,90,10,25,11
JARID2,431,199,310,209,355,189,271,801,641
CDKL5,294,364,348,588,232,173,141,536,811
CAMK1G,10,7,6,10,6,13,22,17,32
CDK11A,2,7,6,5,3,0,21,31,29
NADK,895,394,271,268,301,280,441,589,463
TFAP2B,723,22,60,542,232,4,425,306,181
