"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez"
"RN7SL2",24897.4614195671,9.70096750740327,0.457350047662485,19.0247438518349,1.0640605312218e-80,2.75655521218319e-76,ENSG00000274012,378706
"FP236383.5",22095.2747807678,10.8567141424748,0.551250308473333,17.880650570106,1.66878366841953e-71,2.16157548570382e-67,NA,NA
"SCARNA7",1854.04235001557,9.90703165230959,0.534778530674441,16.6555520489508,2.75787618420746e-62,2.38151801426928e-58,ENSG00000238741,677767
"IL6",1661.03602401774,-10.1620642514983,0.559343249252831,-16.3800390256555,2.65572726196127e-60,1.71998176120921e-56,ENSG00000136244,3569
"AD000090.1",2368.88386099985,11.146922106051,0.671192447895255,15.1177536902718,1.23690421642753e-51,6.40864812615432e-48,NA,NA
"FOSL1",270.717613554765,-8.33847393179479,0.49393610712375,-14.8571319771045,6.25460413008576e-50,2.70052957656669e-46,ENSG00000175592,8061
"CXCL2",1461.69410783603,-8.80497271846393,0.536497528734013,-14.5480124333127,6.01246913388022e-48,2.22512893403287e-44,ENSG00000081041,2920
"ATF3",2326.5100988843,-6.11334113154695,0.358333037034977,-14.2698010037178,3.37540407376783e-46,1.09304022418787e-42,ENSG00000162772,467
"ZC3H12A",646.664195676528,-4.94363507427445,0.28107345379825,-14.0306208963623,1.01261123656048e-44,2.91474518825954e-41,ENSG00000163874,80149
"UBC",3939.6548946292,-5.03076543148745,0.292627538927245,-13.7743885837403,3.63447042684402e-43,9.41545908778211e-40,ENSG00000150991,7316
"FP236383.4",5905.08220982777,11.4732586611014,0.766416448858167,13.6652321028663,1.63780728078374e-42,3.85718503781668e-39,NA,NA
"MAFF",1132.91611733448,-6.58740346179525,0.412529458140856,-13.5442532685447,8.56807511782714e-42,1.84970461668692e-38,ENSG00000185022,23764
"TICAM1",184.757691481002,-5.48634401682004,0.341394988069279,-13.1412123013055,1.91139718650428e-39,3.80897350104462e-36,ENSG00000127666,148022
"SOX17",104.316814259345,-6.80974999114888,0.453242485758266,-12.8181937344847,1.29686520381708e-37,2.39975642643467e-34,ENSG00000164736,64321
"PCBP1",554.925983056353,-3.66819461199366,0.209419035965063,-12.7409363704586,3.50166656708254e-37,6.04761160578936e-34,ENSG00000169564,5093
"SNORA73B",3283.09911323469,9.1449146898956,0.642432688475488,12.6782382590521,7.80668183906082e-37,1.26399937326693e-33,ENSG00000200087,26768
"BAG3",1283.47431384486,-6.51508318561869,0.444314531134829,-12.4125654219153,2.23378852866421e-35,3.40403091903382e-32,ENSG00000151929,9531
"ZFP36",3960.36708423943,-7.03786120836274,0.487211004688436,-12.3927028541235,2.8623085979535e-35,4.11949814103242e-32,ENSG00000128016,7538
"H1_4",775.305852087887,7.11830640887513,0.494504224917731,12.3726069476818,3.67690576539697e-35,5.01336425044073e-32,NA,NA
"RN7SL4P",2165.32883188382,10.6092583383617,0.806174214571593,11.9195803644851,9.35786824568784e-33,1.21212467386395e-29,ENSG00000263740,6030
"CSRNP1",1078.34423558183,-4.71992354163514,0.315562896756568,-11.7882158513229,4.48951037538323e-32,5.5383455135561e-29,ENSG00000144655,64651
"NXF1",602.146739979257,-3.67121798752916,0.227670475661967,-11.7328256101825,8.65213242962226e-32,1.0188279214627e-28,ENSG00000162231,10482
"PPP1R15A",2711.16208935662,-6.28032012904809,0.460044809676475,-11.4778387191488,1.70489028366732e-30,1.92029946472546e-27,ENSG00000087074,23645
"GJA4",114.001672568472,-4.44182997893596,0.311668858015527,-11.043227099592,2.36387762973024e-28,2.55160891149132e-25,ENSG00000187513,2701
"CSF3",851.168253696924,-9.50032401264352,0.797476944137849,-10.6590216496268,1.58253381761286e-26,1.63988484316315e-23,ENSG00000108342,1440
"RN7SL674P",4580.37036462853,12.6899838285123,1.10634698170829,10.5662907042617,4.27053031076842e-26,4.25509070118333e-23,NA,106479468
"HBEGF",541.197378914015,-5.8092057596005,0.456258760250165,-10.5405225687363,5.61858199391807e-26,5.39092537534969e-23,ENSG00000113070,1839
"MARCHF1",269.727441341063,5.36140732851841,0.427580754096868,10.2001956045251,1.97873581510136e-24,1.83075464378628e-21,ENSG00000145416,55016
"INPP1",129.882609851651,-3.54472589838687,0.251990605662488,-10.0984951073741,5.60963903914216e-24,5.01114858441438e-21,ENSG00000151689,3628
"CCN1",2891.25179144877,-4.75003639816057,0.373191415306239,-10.0485601874934,9.32194238871174e-24,8.04980798406554e-21,ENSG00000142871,3491
"SNORD15B",779.959406510206,9.2970173612512,0.827171760904498,10.0305858509707,1.11850956839209e-23,9.34713189637597e-21,ENSG00000207445,114599
"AL162151.2",25.5067859660061,-7.45207441618306,0.643774786099818,-10.0222539861676,1.21695405107969e-23,9.85200363977201e-21,NA,NA
"LIF",423.006280132048,-6.19972771537188,0.522886616783645,-9.94427386066256,2.67114958460338e-23,2.09693336784046e-20,ENSG00000128342,3976
"CXCL3",249.865037439685,-7.984579849119,0.702738921399358,-9.93908212058422,2.81408086312387e-23,2.14416408353197e-20,ENSG00000163734,2921
"RNY1",1011.55756395611,10.9021847898899,1.00476906446359,9.8551847783812,6.50968461862547e-23,4.81828256371747e-20,ENSG00000201098,6084
"EREG",214.983513711424,-7.60827504141574,0.671598950375151,-9.83961490369275,7.60011866472053e-23,5.46912983689583e-20,ENSG00000124882,2069
"H4C3",682.742484155271,10.3392283292994,0.956805001538303,9.76084815012909,1.65763054208826e-22,1.16061018441455e-19,ENSG00000197061,8364
"SOX7",141.379345121892,-6.46619677226388,0.565533386719368,-9.66555980712832,4.22304672672899e-22,2.87900653954319e-19,ENSG00000171056,83595
"GADD45B",1624.75948082739,-4.9434829391606,0.408503303118004,-9.65349094869242,4.75102441619899e-22,3.1558984237449e-19,ENSG00000099860,4616
"H4C5",910.236004058228,6.74799985987248,0.600194887580678,9.57688907188472,1.00011986934713e-21,6.4772763338267e-19,ENSG00000276966,8367
"MT1A",68.7472220514276,-8.72327981482086,0.808182218146209,-9.55635949592699,1.21971843278969e-21,7.70683554142677e-19,ENSG00000205362,4489
"RNU4_2",2576.71708861173,12.2103258747716,1.17839340545057,9.51322862375089,1.84834955658687e-21,1.14007960983189e-18,NA,NA
"SNORD3A",1423.61488891778,10.0361262207487,0.9586220799326,9.42616116393236,4.2537259474749e-21,2.56272149756476e-18,NA,780851
"TSPYL2",449.170146067194,-3.88528563956605,0.308633542924931,-9.34858088405459,8.88315511741912e-21,5.23015946526954e-18,ENSG00000184205,64061
"SNORD89",480.211454613037,6.36228542078824,0.577133479631637,9.29123956595065,1.52501780379675e-20,8.77935805003523e-18,ENSG00000212283,692205
"PXDC1",208.583384744229,-4.28262508150167,0.355225532095592,-9.24096041784043,2.44294491407549e-20,1.37580284660956e-17,ENSG00000168994,221749
"JMJD6",275.541349931077,-3.85760350759195,0.310524567711771,-9.20250377820147,3.49704572604276e-20,1.92754184210348e-17,ENSG00000070495,23210
"AL135905.2",54.3627963012925,-4.47017616718118,0.378524206739302,-9.16764662707865,4.83457882347626e-20,2.609262479187e-17,NA,NA
"LDLR",1476.53924375863,-4.06936914807505,0.336582831839833,-9.11920887734299,7.56747064864962e-20,4.0008754004881e-17,ENSG00000130164,3949
"H1_5",620.518732878684,10.196128803789,1.01258059873728,9.08187339877622,1.06721861505257e-19,5.52947308831039e-17,NA,NA
"RNF122",168.621242263572,-4.40492781185213,0.375956478544105,-9.05670737484761,1.34447685065602e-19,6.82941515550881e-17,ENSG00000133874,79845
"SELE",2096.71760749011,-7.15117614876773,0.679553066229204,-9.05179662112366,1.40635051278298e-19,7.00633007387612e-17,ENSG00000007908,6401
"H2AC20",158.180279434945,6.19743591811162,0.574849607964374,9.04138377429968,1.54700885167364e-19,7.56166251159574e-17,ENSG00000184260,8338
"SERTAD1",242.807443762767,-4.26692641833518,0.36355596883101,-8.98603433424506,2.56311938741348e-19,1.2296327935247e-16,ENSG00000197019,29950
