"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FP236383.5",20606.6330918477,11.2309250295312,0.520440750319975,19.6581936046343,4.91933498054132e-86,1.14699214406302e-81
"SNORA73B",3571.38420648722,9.73475247445837,0.494978251168711,17.6467399402589,1.0780220183779e-69,1.25675806902495e-65
"RN7SL2",23458.409203512,10.0871750362181,0.516442347606827,17.5957201773397,2.65657017045759e-69,2.06468633647964e-65
"MT2A",1940.82805461343,-6.03133109739215,0.297398483038378,-16.9178102254909,3.32567398201051e-64,1.93853536411393e-60
"SNORD17",2998.68184097526,10.9729363069666,0.596899546555619,16.7078972743655,1.14813228662144e-62,5.3539704789731e-59
"SCARNA7",1468.18029834555,10.0401109494423,0.609589941319524,14.8298230280408,9.39803933176552e-50,3.65207808432408e-46
"MAFF",2505.31086731901,-6.98596742744759,0.417563274102431,-14.3354739238375,1.31346835141348e-46,4.3749754402224e-43
"AD000090.1",1940.6974992942,11.3337373761453,0.722100913168106,14.3106554606165,1.87735516021118e-46,5.47155161443548e-43
"IL6",3810.81220317105,-9.90269046453116,0.634409600920889,-14.0330323683757,9.7875381452403e-45,2.53562488216025e-41
"H4C5",511.565075272899,6.38882225700812,0.399183496586016,13.4996118404082,1.5720219184508e-41,3.66532630505988e-38
"SCARNA13",535.402204883213,8.24127603199122,0.573751348856115,12.6209307331967,1.61896454047775e-36,3.43161611143447e-33
"CXCL2",3338.20179197477,-8.53705223651905,0.600293619118211,-12.5556094492399,3.70318881940921e-36,7.05177806099179e-33
"SNORD3A",2054.33810944258,11.0295933322012,0.799115521172825,12.5508678863868,3.93176851916681e-36,7.05177806099179e-33
"FP236383.4",3868.80337206896,11.3360190110532,0.827050549013844,12.4974453174327,7.70889444695394e-36,1.28386130660841e-32
"SNORD15B",930.568160080755,10.0335657681865,0.744896066877055,12.1272834827271,7.57197681199581e-34,1.17698807565663e-30
"H1_4",770.454596386768,7.57975202694511,0.549515646020586,11.9737300922977,4.8785017290458e-33,7.109196644652e-30
"RN7SL674P",1666.43608408618,11.7029267694638,0.908040880215788,11.7868336136148,4.56378554157652e-32,6.25936609925871e-29
"RNU4_2",3502.91789238633,13.1528941351182,1.03256226861932,11.7696477049934,5.59577034967203e-32,7.2483878596085e-29
"PPP1R15A",5924.87401632696,-6.988729133576,0.510808518613553,-11.7240196969125,9.60059970130536e-32,1.1781451717665e-28
"SCARNA6",455.638263581225,9.23437995087225,0.73243076432596,11.2425369767888,2.52033531307662e-29,2.93820690798472e-26
"RNU4_1",831.591704643128,10.3577527246625,0.839868175925062,11.1419303563389,7.84013203991982e-29,8.70478660203669e-26
"CSRNP1",2179.98582427233,-4.91799888580726,0.355653058163288,-11.0163508955641,3.18719233022735e-28,3.3778443805264e-25
"RNU5A_1",3020.08567359276,12.9712784209606,1.11056314625174,10.7794666709091,4.30373771419576e-27,4.36286732800819e-24
"SNORD89",552.160237743737,7.03485388131078,0.561107083006983,10.7552623448806,5.59745153891959e-27,5.43792417006038e-24
"ERBB2",14497.8689282429,4.15845958593462,0.294524601596886,10.7239244830813,7.85960811942109e-27,7.33018491649688e-24
"ARC",491.55304211106,-9.09424191988493,0.757204743344677,-10.6896344628423,1.13818672475879e-26,1.02069083363369e-23
"SNORA23",453.910530039864,8.81728805753862,0.734555035126574,10.6422087981353,1.89581032238759e-26,1.63713753617737e-23
"ZFP36",8903.59025674432,-6.71678826866372,0.53768837153251,-10.6321590187451,2.11166446297548e-26,1.75841316495486e-23
"RN7SL4P",838.376314258081,9.71281465131919,0.822158061569913,10.5974934244177,3.06073769361986e-26,2.46083310567037e-23
"ATF3",5098.11332351507,-6.09643938014275,0.482431816540464,-10.5640615013527,4.3732100699079e-26,3.39885886633242e-23
"FOSL1",616.298569714154,-8.55086741190101,0.719951291457079,-10.4880253726875,9.80561988247076e-26,7.37509139289317e-23
"CSF3",1946.3040765791,-10.856761098743,0.980441752488414,-10.0533877445814,8.87624076100585e-24,6.46745092448789e-21
"SCARNA21",715.538419597221,10.4686381297721,0.942823631142438,10.0428519364738,9.87762320740644e-24,6.97898977890571e-21
"ERF",1205.22001469794,-4.32576945754942,0.33163787766108,-10.0283160687339,1.14451818217021e-23,7.78055626968902e-21
"RNU5B_1",1806.30620252312,14.6715856481519,1.36357041161135,10.0263143961858,1.1679510612417e-23,7.78055626968902e-21
"JUNB",3438.18460953479,-4.0595105540869,0.305367450419193,-10.019111565057,1.25627111425907e-23,8.1364492500179e-21
"CEBPD",1446.88896070905,-4.69282235632632,0.370039472522624,-9.97953632122462,1.87340176561515e-23,1.16005110955821e-20
"H4C3",487.912405544474,10.3342447747822,0.935423674305376,9.97862790004067,1.89063056112591e-23,1.16005110955821e-20
"SCARNA5",1892.84687080551,13.7772344582399,1.28084732929282,9.97561080546141,1.94898539399322e-23,1.16519342170118e-20
"GADD45A",1871.15786091955,-6.01492629563523,0.503103080308275,-9.96798964650018,2.10445225229989e-23,1.22668521786561e-20
"TNFRSF10D",577.96746979133,-5.55940458910466,0.464779939124154,-9.80981364577942,1.02157043697946e-22,5.80949666063734e-20
"RNY1",855.526645600676,11.1361426341043,1.03386604581963,9.80411599267544,1.08089267829429e-22,6.00049849693086e-20
"SOX7",312.5575866061,-6.54435625157365,0.569130164712635,-9.74180705106909,1.99966326151197e-22,1.08428252570728e-19
"MARCHF1",269.122038791921,5.82778578401899,0.496215180717751,9.72921823358131,2.26325608612674e-22,1.19931997509389e-19
"CXCL3",567.805397817913,-7.59675820280138,0.679780951235394,-9.70424103648804,2.89220722524742e-22,1.49854897030819e-19
"EPHA2",838.834097616276,-4.37642939093701,0.353562670740728,-9.54973381059503,1.30029954871556e-21,6.59082266909828e-19
"SCARNA9",219.728339917039,6.35731152220514,0.563501732389803,9.5071784419985,1.959039690454e-21,9.71850413247353e-19
"UBC",8296.44871083782,-4.72570324054025,0.39294570747877,-9.48147077224794,2.50723877738474e-21,1.20809192801816e-18
"SNORD46",237.940725172336,6.72939003007716,0.604355691069051,9.48016228645481,2.53887907329258e-21,1.20809192801816e-18
"SNORA20",387.291692515799,8.56396866673465,0.799362900441791,9.46249652386194,3.00677078640123e-21,1.40211735311462e-18
"H1_3",508.198147899571,8.62038679739638,0.807159583213971,9.44099154104483,3.69268268232073e-21,1.68820763570569e-18
"H1_5",641.345615797048,10.7206838630859,1.03255259952188,9.41422632376019,4.76579171211445e-21,2.13690768383963e-18
"RN7SKP80",175.551242153874,7.86593788933797,0.732462637812678,9.37377216924186,6.99855621457996e-21,3.07883654149333e-18
"TICAM1",393.871815250382,-5.52642226477923,0.483343374802651,-9.36481702397879,7.61821761638884e-21,3.28937707303189e-18
"MT_TM",1102.5851382406,12.9973313794228,1.28593736926721,9.32963895921261,1.06232150799499e-20,4.50347059643841e-18
"RN7SL3",929.391775652971,11.8656331585826,1.17380589833132,9.25675460826118,2.10740242395554e-20,8.77432052088345e-18
"LIF",921.499944040831,-6.81312310162948,0.638055550743285,-9.11068494719251,8.18634848830719e-20,3.34864739216439e-17
"NACA",2429.69316572679,-4.05710886360828,0.33820970298284,-9.03909271864794,1.57977519883528e-19,6.35069629931784e-17
"CDKN1A",3486.64862100802,-5.34743390143023,0.481343552910145,-9.03187312917388,1.68758006484019e-19,6.66908759183287e-17
"SNORA71A",146.897246575335,5.47681600370849,0.496153992738717,9.0230373416869,1.82945181296793e-19,7.10924974519337e-17
"ZC3H12A",1335.24464008736,-5.01753544129385,0.447502973098366,-8.97767318388465,2.76553134761334e-19,1.05706768690086e-16
"TM4SF1",8503.35391585475,-4.50119797099893,0.392083998844488,-8.92971399321912,4.27111565572218e-19,1.6062150424003e-16
"MTRNR2L12",97.1014571544296,6.77436517048381,0.648756018819937,8.90067298487214,5.55090797496335e-19,2.05436460863882e-16
"SOX17",232.920143378496,-6.75017517227605,0.651767656780296,-8.82243098818629,1.12001223296478e-18,4.08034456621981e-16
"MALAT1",88317.1022525776,5.41799640479434,0.502163119040781,8.79793086603707,1.39361846077216e-18,4.99901662020979e-16
"H4C2",239.662942656669,9.29816834609597,0.945430419126806,8.77713280450623,1.67694938902077e-18,5.924204841577e-16
"TP53INP1",1219.91885641753,4.05810734416531,0.349694462140279,8.74508370949996,2.22850368199645e-18,7.75519281334765e-16
"PCBP1",1039.80427665789,-3.43032455338634,0.277997561871431,-8.74225132416925,2.28510452897225e-18,7.83522017610546e-16
"ATN1",1132.24378267006,-3.84714795403148,0.328642355199034,-8.66336279846576,4.58047737348307e-18,1.54780304985697e-15
"NFIL3",1348.79487188885,-4.56402526719802,0.412467097245159,-8.64075047683055,5.58449640490486e-18,1.86011597395374e-15
"SNORA14B",218.803030005406,7.59456566789709,0.76476207361311,8.62302916872058,6.52058377387473e-18,2.14132297565723e-15
"SNORD94",198.797890679124,6.22620690228582,0.607867543382757,8.59760807955331,8.13947135764011e-18,2.63583214131579e-15
"BAG3",2855.2269695253,-6.39952948876914,0.630602994802134,-8.56248627627175,1.10459193116549e-17,3.52803636534996e-15
"RNU6ATAC",509.451431250783,10.3634808715091,1.09378118014719,8.56065275345939,1.12230261789171e-17,3.53616322145448e-15
"MYBPC1",1157.08446191794,-8.66073003683129,0.896974934025142,-8.54062889188447,1.3349329390351e-17,4.15003952087233e-15
"SNORA53",666.272800007541,9.23180827992675,0.974144314547944,8.45029648789436,2.90563987896014e-17,8.91419729182035e-15
"INPP1",229.597996478181,-3.83202706076375,0.336300239199334,-8.42112710804565,3.72879446055236e-17,1.12909833301609e-14
"SNORA37",170.805674299419,8.07116829609017,0.841067378333052,8.40737434152402,4.19291189570939e-17,1.25335812513282e-14
"SNORA54",496.112283747674,10.9445835933455,1.18347334346248,8.40287924377808,4.35662623514901e-17,1.28581135821183e-14
"H2AC16",116.452184701003,7.26605126426054,0.746085999318289,8.39856433438763,4.51970319509289e-17,1.31726749620982e-14
"GPIHBP1",75.7887780818936,-7.02907846887049,0.718013536053222,-8.39688691944603,4.58471178473451e-17,1.31971777744284e-14
"EIF1",4664.87374119569,-3.76339238001389,0.330797714904878,-8.35372269971245,6.61445267311375e-17,1.88076315276e-14
"SNORD104",174.975031670917,6.99211068285597,0.717999006020128,8.34556960749886,7.08714625863323e-17,1.99089038754569e-14
"IRX1",213.642810942442,-6.35649814880747,0.643972831399231,-8.31789461858013,8.9539568059395e-17,2.48536258199149e-14
"MT1A",156.761088699756,-9.0313964142095,0.968015603296511,-8.29676338569248,1.06986166188312e-16,2.93469347158435e-14
"NR4A1",2626.76580700848,-5.14677599129591,0.500359833313975,-8.28758768231064,1.15568400144853e-16,3.13324746253184e-14
"GADD45B",3331.185440299,-5.25668488118122,0.513863473668864,-8.28368837113387,1.19417845453755e-16,3.20039825816065e-14
"CD84",378.023828582043,4.98265688255521,0.484477422055989,8.22052112491416,2.02620791311296e-16,5.36852996615248e-14
"SNORA79B",214.963094957544,8.42826546953255,0.904157132223813,8.21567978041871,2.10965727976719e-16,5.52682799270244e-14
"LDLR",2917.28265002875,-3.67451466739526,0.325860018450059,-8.20755697528188,2.25734353401776e-16,5.84802464879534e-14
"H4C4",259.30137495442,8.98718589164463,0.97599398793059,8.1836425125732,2.75390245586282e-16,7.05604281987886e-14
"PIK3CG",203.661690308311,5.21092436759238,0.515549759355389,8.16783305816581,3.13977985489286e-16,7.95729424963933e-14
"SNORA12",267.801743632215,10.0680888958608,1.11359214338796,8.1430970483254,3.85293191866139e-16,9.65967318446333e-14
