"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FP236383.5",15388.0493384322,10.5094854153742,0.538355946717077,17.6639367937952,7.94965747350707e-70,2.17804715459147e-65
"ATF3",6274.02199147286,-6.15050131051918,0.30444937900889,-16.917430829671,3.34716293336825e-64,4.58527850242117e-60
"FOSL1",761.837906765423,-7.89333425090925,0.416381820489015,-16.5553199292261,1.46560327989467e-61,1.33848662208514e-57
"RN7SL2",12383.1724629567,8.86588079085699,0.495772522987512,15.8659070967818,1.09129318076008e-56,7.47481264161617e-53
"FP236383.4",6684.09098746352,11.8215228704685,0.689916714307251,15.6852597510041,1.90781105563189e-55,1.04540414604405e-51
"IL6",4697.25978771255,-10.6416856949531,0.63815005164259,-15.108806573212,1.4168255978646e-51,6.46969795504904e-48
"AREG",3326.28263937585,-8.49434173724712,0.503129902903253,-14.895440907014,3.52849287994147e-50,1.38105211320909e-46
"SCARNA7",1342.21590753948,9.61185349980381,0.580145904272652,14.8442890596647,7.5753642321614e-50,2.59437286540948e-46
"ZFP36",10895.4868131321,-7.74133153645207,0.454918479430563,-14.8187682876511,1.10797476556044e-49,3.37292140298055e-46
"AD000090.1",2089.34738824344,11.1396455450275,0.699887774243672,14.4875305987233,1.45272237865754e-47,3.98016877304593e-44
"TICAM1",481.461150557337,-5.88311846346874,0.345146364953689,-14.1479643400675,1.92241965211086e-45,4.7882230571394e-42
"UBC",10029.4163219934,-5.25429192442771,0.308486123596084,-13.7908696664686,2.89251754668521e-43,6.60409964534012e-40
"RN7SL4P",2342.36143106521,10.8940317820038,0.776697372022251,12.7385930973902,3.60843261292955e-37,7.60491051761875e-34
"H4C5",1355.53116653041,7.49660476175872,0.512697215174219,12.6714258815529,8.51523348907566e-37,1.66643119381211e-33
"EGR3",643.29709263266,-6.43174389731496,0.432307468201524,-12.5645386602086,3.30798935827437e-36,6.04215282920009e-33
"MAFF",3116.98165184391,-6.18518311998973,0.415057640709717,-12.4926820070664,8.18472107643598e-36,1.40153117532621e-32
"NR4A3",733.911475363052,-5.78854280727831,0.39067266079007,-12.2571740689361,1.53769342979741e-34,2.47821909350526e-31
"SELE",5759.51229883509,-8.4176158653514,0.6152078062702,-12.0570899617187,1.77960300581585e-33,2.70875350851903e-30
"ACTG1",23612.8308870569,-4.09076099365039,0.257368377739873,-12.0090938163906,3.18313874724691e-33,4.59008607353005e-30
"KDM6B",1309.29466340213,-5.92796408227088,0.411262084759958,-11.9825392733376,4.38677821704149e-33,6.00944747952513e-30
"ZC3H12A",1646.36496244643,-5.02281723250654,0.338217681750228,-11.8941659456981,1.26914572129919e-32,1.65581211772167e-29
"KLF4",1256.98906796697,-5.29652134050355,0.366482551956867,-11.7236722937064,9.6400633772328e-32,1.20053843822466e-28
"TIPARP",2017.83403894443,-5.02217525648985,0.344860365506128,-11.6631995404482,1.96516333148055e-31,2.34093673721322e-28
"CSRNP1",2690.31634920176,-4.86947166733824,0.334720810369708,-11.5602960660387,6.54826281368453e-31,7.4753876903887e-28
"CXCL2",4115.92772954536,-8.67372018151805,0.664395951319756,-11.5499201436658,7.38890594226227e-31,8.09764980024406e-28
"SOX17",284.867563908705,-7.61846024784593,0.582852896601262,-11.3552841316215,6.98125638785792e-30,7.35663317363581e-27
"CCN1",7315.96757766323,-4.59431017255253,0.318809259151995,-11.2741712148295,1.76028430917869e-29,1.78623220381029e-26
"PTHLH",862.972611604013,-6.14435716880893,0.456888102634672,-11.2595559813085,2.0780307475385e-29,2.03335308646642e-26
"EGR1",6804.89059334455,-6.15065672132815,0.464707362021559,-11.0836563873701,1.5059431135694e-28,1.42275273881291e-25
"SNORA73B",1052.67146604783,7.67147591652906,0.602451085245348,11.0738881212441,1.67951934229255e-28,1.53384903133771e-25
"PPP1R15A",7409.75756175047,-5.85896552569324,0.441730485046508,-10.9998419628694,3.8280220157421e-28,3.3832305544291e-25
"FOSB",5649.07759849466,-7.33207715630475,0.581662064688636,-10.8861786606185,1.34151838803327e-27,1.14859127485424e-24
"EIF1",5441.85490141829,-4.71465452747428,0.351882316125032,-10.5565251712006,4.73880291508954e-26,3.93435522023101e-23
"NXF1",1334.30182066041,-3.9487649577542,0.279654541248948,-10.5443127960122,5.39659302685829e-26,4.34870163970187e-23
"ATP6V0C",155.663264461242,-5.09881243886365,0.398587573021524,-10.2833422722949,8.37711647901777e-25,6.55760677977511e-22
"PHLDA2",218.212411379801,-5.6441584877811,0.452264815857001,-10.2686707542811,9.75392995523871e-25,7.42328258093417e-22
"MAP2K3",1272.94637906788,-5.03112353914114,0.395401777024933,-10.1950061263557,2.08731371482699e-24,1.54562759888729e-21
"H1_4",517.667214832482,6.70181218425995,0.560433846699714,10.1739254647749,2.59245417026095e-24,1.86915945675815e-21
"MARCHF1",210.815441918794,5.16152200611267,0.409211859860562,10.1696026296273,2.7101201834093e-24,1.90389417397559e-21
"NR4A1",3201.64041083549,-5.51716689251496,0.444753191663479,-10.1565699295371,3.09783687796834e-24,2.12186336956441e-21
"FTH1",1624.06448266543,-4.04123076996421,0.299642450643191,-10.1495324291873,3.32954777222416e-24,2.22494999666823e-21
"IKZF3",321.836898253754,3.85049923305608,0.28353672780246,10.0533685887848,8.87796691306209e-24,5.79139374962084e-21
"BCL3",576.616555229806,-4.91074483298858,0.389266386282179,-10.0464488350496,9.52377217564224e-24,6.06819325740107e-21
"BCL6",2299.85264979574,-5.18359041127916,0.418312868603383,-10.0011037796826,1.50707772659975e-23,9.38429898940452e-21
"H4C3",756.022354287828,10.6610030490145,0.974238164831731,9.91646950177023,3.5302277321244e-23,2.14935954232765e-20
"RNY1",561.858332332741,10.235613395805,0.932098503500386,9.9084092090286,3.82690708478954e-23,2.27933913715356e-20
"HBEGF",1441.75566841321,-5.93231505169281,0.497927613496103,-9.90568692718508,3.9325817854775e-23,2.29244416507473e-20
"BAG3",3490.52991122549,-6.96983114144223,0.603780443082379,-9.88742051823582,4.72033837354604e-23,2.69432980746697e-20
"MSR1",711.607122390084,4.51307689720793,0.356075691286244,9.86609584191979,5.83933009652202e-23,3.2650197139696e-20
"GPIHBP1",97.1273465211593,-4.9737213213577,0.403862113342658,-9.83930205403097,7.62378756781134e-23,4.1775306356579e-20
"CSF3",2406.77393375431,-8.92155119357106,0.811403741423181,-9.76277380688049,1.62644715302783e-22,8.7375292350307e-20
"SERPINA3",236.057486510301,-5.16743093092751,0.427376488361058,-9.75119372361628,1.82311721806747e-22,9.60572414242548e-20
"MYADM",2124.43145449953,-4.11528587738174,0.320242330522685,-9.72790159344989,2.2927366619122e-22,1.18521507666171e-19
"PCBP2",1476.15128186667,-3.21657139540106,0.227972812717746,-9.72296375596946,2.40672348890487e-22,1.22110018794474e-19
"TFEC",187.658060406234,5.11045832558044,0.42459662757092,9.68085486004918,3.63662322476531e-22,1.81156732931127e-19
"LDLR",3462.61864327121,-4.23174894194846,0.335658354602516,-9.62809028178509,6.08498107896479e-22,2.97707699288352e-19
"H1_5",603.816722868745,10.3368975814198,0.971343457943067,9.61235442012628,7.09087137515814e-22,3.40834550765935e-19
"RNU4_2",379.095957574073,9.6622240120484,0.910414744188582,9.51459108866773,1.82428938972145e-21,8.61756563786005e-19
"CD84",278.348521803945,4.2184728730227,0.339946290137449,9.46759228265556,2.86368172380994e-21,1.32981613337194e-18
"GADD45B",4124.30224318762,-5.10302921931431,0.433483262292885,-9.46525408527096,2.92848214616728e-21,1.33724256401152e-18
"GJA4",275.907139425153,-4.67264358472273,0.38816021522167,-9.46166928165309,3.03065777605789e-21,1.36121248767925e-18
"CXCL3",700.458039033443,-7.67763379112304,0.707173140675273,-9.44271410640205,3.63246122080212e-21,1.6051963310893e-18
"SLC7A2",1176.89333300246,-4.94317315266426,0.417843679310531,-9.43695776174178,3.83759629917718e-21,1.66892799055327e-18
"LIF",1145.99421523543,-6.09159853496272,0.539738059410334,-9.43346211405829,3.96771743182295e-21,1.69855503432945e-18
"AL135905.2",131.378838900458,-4.73111579934121,0.397654918303476,-9.3827980683839,6.42447379213977e-21,2.70796512241608e-18
"YBX3",2454.59595962438,-4.55165835942055,0.379662957941401,-9.35476660319528,8.37844926132505e-21,3.47807201305733e-18
"PI16",493.294387404933,-6.78183690944893,0.620076011030431,-9.32440024544859,1.11613033428391e-20,4.5641401341359e-18
"MT1A",193.525524299083,-8.72964833736289,0.833836889854462,-9.26997645632112,1.86187017214307e-20,7.50169396711408e-18
"AL138785.2",119.453457268739,5.878557654235,0.531146869278475,9.18495040903127,4.1171697839114e-20,1.63481474984934e-17
"SNORD3A",255.699792115201,7.71532248519865,0.731368926778183,9.1818536983529,4.23733260213658e-20,1.65849198047626e-17
"DUSP8",431.347900589099,-5.12531624445266,0.455696459858753,-9.05277220220524,1.3938386141152e-19,5.37864652810258e-17
